FP2-F4 ,F4 -C4 ,C4 -P4 ,P4 -O2 ,FP2-F8 ,F8 -T4 ,T4 -T6 ,T6 -O2 ,FP1-F3 ,F3 -C3 ,C3 -P3 ,P3 -O1 ,FP1-F7 ,F7 -T3 ,T3 -T5 ,T5 -O1 ,T6 -A1 ,O1 -A1 ,O2 -A1 
-265,-35,-6,-358,-194,-120,1,-349,-155,-9,-16,-8,-181,1,27,-31,-99,-62,253
-276,-40,-6,-350,-203,-128,7,-347,-168,-9,-4,-7,-192,3,37,-32,-108,-77,242
-280,-47,-6,-338,-206,-132,9,-341,-175,-6,5,-2,-196,6,44,-29,-110,-90,234
-277,-53,-6,-327,-204,-132,7,-331,-176,-1,9,4,-194,14,46,-25,-104,-98,231
-268,-58,-3,-318,-198,-127,1,-320,-168,3,9,10,-188,25,43,-22,-90,-99,233
-256,-60,1,-310,-190,-118,-5,-310,-155,6,5,14,-177,32,38,-20,-74,-94,239
-241,-57,4,-305,-179,-105,-11,-302,-139,7,0,15,-163,35,33,-19,-58,-85,247
-225,-47,6,-302,-166,-89,-15,-297,-122,10,-5,13,-146,35,29,-19,-46,-71,254
-206,-34,5,-302,-148,-74,-16,-297,-103,15,-10,10,-125,32,28,-20,-38,-57,261
-180,-22,4,-310,-127,-61,-15,-305,-85,22,-16,10,-104,28,29,-19,-35,-45,272
-149,-14,0,-326,-103,-50,-15,-319,-66,25,-21,14,-84,25,31,-17,-34,-37,288
-114,-9,-5,-346,-76,-43,-17,-338,-45,25,-25,20,-67,27,33,-16,-32,-33,308
-81,-7,-11,-369,-50,-39,-19,-358,-20,20,-30,26,-49,32,36,-20,-28,-29,333
-53,-5,-16,-390,-27,-38,-22,-377,8,12,-33,29,-29,39,40,-30,-22,-24,357
-31,-5,-20,-402,-8,-37,-24,-389,38,6,-36,29,-7,44,44,-41,-13,-16,378
-14,-5,-23,-406,6,-35,-24,-393,64,5,-38,27,16,48,47,-50,-3,-11,392
0,-6,-24,-405,16,-32,-22,-394,84,8,-39,26,36,50,48,-53,5,-8,400
13,-8,-22,-401,21,-28,-20,-391,96,13,-40,25,51,49,47,-51,8,-11,401
24,-13,-16,-396,24,-21,-18,-385,103,16,-38,24,59,48,47,-46,9,-17,396
33,-18,-9,-392,26,-14,-18,-379,104,16,-34,23,60,47,48,-43,6,-23,387
40,-21,0,-387,30,-9,-15,-372,101,14,-29,23,55,50,49,-42,1,-27,374
46,-22,8,-381,33,-7,-10,-364,97,12,-22,22,48,55,49,-42,-3,-26,363
50,-21,15,-378,37,-6,-4,-360,91,11,-13,18,42,61,49,-42,-4,-21,358
55,-19,17,-377,40,-5,3,-360,83,12,-2,12,36,64,47,-39,-5,-16,357
61,-15,15,-377,42,-3,9,-363,75,14,7,4,32,63,44,-36,-7,-13,357
65,-12,12,-376,42,0,13,-365,70,15,13,-3,28,60,41,-32,-13,-14,354
66,-11,9,-375,41,3,13,-367,66,17,13,-8,24,57,38,-29,-21,-20,347
66,-13,6,-370,40,5,10,-366,61,19,10,-11,17,55,37,-28,-30,-27,338
64,-15,3,-364,40,5,6,-361,56,23,6,-11,10,54,38,-28,-35,-35,328
60,-16,0,-358,39,0,5,-357,49,26,2,-9,4,55,40,-29,-38,-41,320
56,-13,-6,-353,37,-8,9,-353,42,28,-1,-10,-3,58,40,-32,-40,-41,315
51,-9,-11,-347,35,-17,14,-347,37,28,-2,-13,-9,60,39,-37,-37,-34,311
44,-5,-12,-340,31,-23,18,-337,33,24,-2,-16,-12,60,37,-43,-32,-26,307
36,-3,-8,-334,26,-26,19,-326,30,19,0,-17,-15,60,32,-45,-24,-18,303
29,-5,-1,-330,21,-26,15,-317,24,13,1,-15,-19,59,27,-42,-16,-12,303
22,-11,9,-331,18,-22,6,-312,18,8,4,-11,-21,55,23,-38,-8,-9,305
17,-17,17,-336,16,-14,-7,-312,11,4,7,-5,-19,48,22,-32,-2,-7,311
